Scheme,Question,Answer
AGMARKNET ,What is the purpose of the Agricultural Marketing Information Network (AGMARKNET) scheme?,"The AGMARKNET scheme aims to establish a nationwide information network for the efficient dissemination and collection of market information related to agricultural produce. It also aims to sensitize farmers to new challenges in agricultural marketing, improve marketing efficiency through training, and facilitate marketing research for the benefit of farmers and other stakeholders."
AGMARKNET ,"When was the Agricultural Marketing Information Network (AGMARKNET) launched, and which ministry oversees its implementation?",The AGMARKNET scheme was launched in 2000 by the Union Ministry of Agriculture.
AGMARKNET ,How does the Directorate of Marketing and Inspection (DMI) contribute to the AGMARKNET scheme?,"The Directorate of Marketing and Inspection (DMI), under the Ministry of Agriculture, links approximately 7,000 agricultural wholesale markets in India with the State Agricultural Marketing Boards and Directorates to facilitate effective information exchange."
AGMARKNET ,"Who implements the e-governance portal AGMARKNET, and what is its purpose?","The e-governance portal AGMARKNET is implemented by the National Informatics Centre (NIC). Its purpose is to facilitate the generation and transmission of prices, commodity arrival information, and other relevant data from agricultural produce markets for transparent and quick dissemination to producers, consumers, traders, and policymakers."
AGMARKNET ,How does the AGMARKNET scheme utilize Information and Communication Technology (ICT)?,The AGMARKNET scheme utilizes ICT as a vehicle of extension to sensitize and orient farmers to respond to new challenges in agricultural marketing. It also aims to improve efficiency in agricultural marketing through regular training and extension programs conducted in regional languages to reach region-specific farmers.
AGMARKNET ,What is the role of AGMARKNET in marketing research?,AGMARKNET assists in marketing research to generate marketing information for dissemination to farmers and other marketing functionaries. This aims to create a culture of good marketing practices in the country.
AGMARKNET ,Which government departments and central agencies are involved in disseminating information through AGMARKNET?,"Government departments and central agencies such as Commerce, Food and Public Distribution, Consumer Affairs, Health, as well as organizations like CCI, JCI, NCDC, NAFED, NTGF, TRIFED, NCCF, NDDB, NHB, APEDA, and MPEDA are involved in disseminating information through AGMARKNET."
AGMARKNET ,How does AGMARKNET facilitate the sale of standardized farm produce?,"Once farm produce is standardized, labeled, and given quality certification, it can be directly offered for sale on Spot Exchange websites in national and international markets, facilitated by AGMARKNET."
Mission for Integrated Development of Horticulture (MIDH),What is the objective of the Mission for Integrated Development of Horticulture (MIDH) scheme?,"The objective of the Mission for Integrated Development of Horticulture (MIDH) scheme is to promote holistic growth in the horticulture sector, covering various crops such as fruits, vegetables, root & tuber crops, mushrooms, spices, flowers, aromatic plants, coconut, cashew, cocoa, and bamboo."
Mission for Integrated Development of Horticulture (MIDH),"Who is considered the Father of Indian Horticulture, and what is horticulture?","M.H. Marigowda is considered the Father of Indian Horticulture. Horticulture is the branch of plant agriculture dealing with garden crops, generally fruits, vegetables, and ornamental plants."
Mission for Integrated Development of Horticulture (MIDH),What is the funding pattern for the Mission for Integrated Development of Horticulture (MIDH) scheme?,"Under the MIDH scheme, the Government of India (GoI) contributes 60% of the total outlay for developmental programs in all states except those in the North East and Himalayan regions, where the GoI contributes 90%."
Mission for Integrated Development of Horticulture (MIDH),Which ministry oversees the implementation of the Mission for Integrated Development of Horticulture (MIDH) scheme?,The Ministry of Agriculture and Farmers Welfare oversees the implementation of the MIDH scheme.
Mission for Integrated Development of Horticulture (MIDH),When was the Mission for Integrated Development of Horticulture (MIDH) scheme implemented?,The MIDH scheme has been implemented since 2014-15 under the Green Revolution - Krishonnati Yojana.
Mission for Integrated Development of Horticulture (MIDH),What crops are covered under the Mission for Integrated Development of Horticulture (MIDH) scheme?,"The MIDH scheme covers a wide range of crops, including fruits, vegetables, root & tuber crops, mushrooms, spices, flowers, aromatic plants, coconut, cashew, cocoa, and bamboo."
Mission for Integrated Development of Horticulture (MIDH),What is the allocation provided for the Mission for Integrated Development of Horticulture (MIDH) scheme for the year 2021-22?,An enhanced allocation of Rs. 2250 Crore has been provided for the year 2021-22 for the MIDH scheme.
Mission for Integrated Development of Horticulture (MIDH),What is the significance of the Mission for Integrated Development of Horticulture (MIDH) scheme for farmers?,"The MIDH scheme aims to promote the holistic growth of the horticulture sector, which benefits farmers engaged in the cultivation of various horticultural crops by providing them with support and resources for development and expansion."
Computerized Registration of Pesticides (CROP) ,What is the purpose of the Computerized Registration of Pesticides (CROP) application?,"The Computerized Registration of Pesticides (CROP) application is designed to automate the registration procedure for pesticides. It allows online application submission, status checking, email notifications at specific milestones, and online grievance submission for manufacturers applying for pesticide registration."
Computerized Registration of Pesticides (CROP) ,How does the CROP application assist applicants in the registration process?,"The CROP application assists applicants, primarily manufacturers, by providing a user-friendly interface to submit pesticide registration applications, check the status of their applications, receive email notifications at key stages, and submit grievances online if needed."
Computerized Registration of Pesticides (CROP) ,What are the key features of the CROP application?,"The key features of the CROP application include online registration of pesticides, status checking, email notifications, online grievance submission, and access to various forms such as Form-I, Form-C, Inclusion in Schedule, and Endorsement."
Computerized Registration of Pesticides (CROP) ,What functionalities are available under the Registration menu in the CROP application?,"Under the Registration menu in the CROP application, users can access links for Form-I, Form-C, Inclusion in Schedule, and Endorsement, which are required for different aspects of the pesticide registration process."
Computerized Registration of Pesticides (CROP) ,How can an applicant check the status of their pesticide registration application using the CROP application?,Applicants can check the status of their pesticide registration application by logging into the CROP application and selecting the application type under the Application Status menu.
Computerized Registration of Pesticides (CROP) ,What is the purpose of the Grievances menu in the CROP application?,The Grievances menu in the CROP application allows applicants to submit grievances regarding their pesticide registration application. Users can navigate to the Grievance Submit Grievance link to access a form for submitting their grievances.
Computerized Registration of Pesticides (CROP) ,What forms can applicants access under the Deficiency Reported menu in the CROP application?,"Under the Deficiency Reported menu in the CROP application, applicants can access links for Form-I, Form-C, Inclusion in Schedule, and Endorsement, which are related to addressing deficiencies in the pesticide registration process."
Computerized Registration of Pesticides (CROP) ,How does the CROP application facilitate communication with applicants during the registration process?,"The CROP application facilitates communication with applicants by providing frequent email notifications at various stages of the registration process, ensuring timely updates and feedback to manufacturers."
Plant Quarantine Information System,"What is the purpose of the ""Destructive Insects & Pests Act, 1914 (Act 2 of 1914)"" in India?","The purpose of the Act is to prevent the introduction of any insect, fungus, or other pest that is or may be destructive to crops."
Plant Quarantine Information System,How are agricultural commodities regulated for import in India under Plant Quarantine?,"Agricultural commodities' import is regulated through the Plant Quarantine (Regulation of Import into India) Order, 2003, issued under the Destructive Insects & Pests Act, 1914."
Plant Quarantine Information System,What are the primary objectives of the Plant Quarantine Scheme in India?,The primary objectives are to prevent the introduction and spread of exotic pests destructive to crops and facilitate safe global trade in agriculture by providing a technically competent and reliable phytosanitary certificate system.
Plant Quarantine Information System,"How many Plant Quarantine Stations are there in India, and where are the major stations located?","There are 35 Plant Quarantine Stations in different Airports, Seaports, and Land frontiers. The major stations include the National Plant Quarantine Station at Rangpuri, New Delhi, and Regional Plant Quarantine Stations at Amritsar, Chennai, Kolkata, and Mumbai."
Plant Quarantine Information System,What is the significance of Plant Quarantine in the context of globalization and international trade?,"Plant Quarantine has gained significance due to globalization and liberalization in international trade of plants and plant material, particularly in adherence to the Sanitary and Phytosanitary (SPS) Agreement under WTO."
Plant Quarantine Information System,How does the Plant Quarantine Scheme contribute to preventing the introduction of exotic pests?,The scheme inspects imported agricultural commodities to prevent the introduction of exotic pests and diseases harmful to Indian Fauna and Flora.
Plant Quarantine Information System,What activities are conducted under the Plant Quarantine Scheme?,"Activities include inspecting imported and exported agricultural commodities, detecting and controlling introduced pests, conducting Post Entry Quarantine Inspection, and Pest Risk Analysis for importing plant/plant material."
Plant Quarantine Information System,"How many Plant Quarantine Stations have been strengthened with modern equipment, and why?","The National Plant Quarantine Station at Rangpuri, New Delhi, and Regional Plant Quarantine Stations at Chennai, Kolkata, Amritsar, and Mumbai have been strengthened to facilitate speedy clearance of imports and exports under the FAO-UNDP Project."
Plant Quarantine Information System,What standards are followed for phytosanitary measures in India?,"National Standards for Phytosanitary Measures have been developed and adopted. Six draft National Standards are under the approval process, prioritizing those critical for exports."
Plant Quarantine Information System,What efforts are being made to streamline Plant Quarantine activities in India?,Efforts include computerizing Plant Quarantine Stations for speedy and transparent functioning and developing a National Integrated Fruit Fly Surveillance Programme.
Plant Quarantine Information System,How does India participate in international cooperation on phytosanitary matters?,"India participates in IPPC Standard Committee meetings, trains fumigation service providers, finalizes SPS Protocols for export (e.g., mango to China), and collaborates with countries like Chile and Nepal on Phytosanitary matters."
Plant Quarantine Information System,What measures are taken to ensure the biosafety of growing imported transgenic material?,"A Level-4 containment facility has been established at NBPGR, New Delhi, for quarantine processing, considering biosafety concerns associated with growing imported transgenic material."
DBT,What is the primary goal of the Direct Benefit Transfer (DBT) Program launched by the Government of India?,"The primary goal is to directly transfer benefits to the underprivileged population covered under 34 central schemes by making payments directly into Aadhaar-linked bank accounts, thus eliminating malpractices like diversions and duplicate payments."
DBT,"When was the DBT Program initiated, and what central schemes does it cover?","The DBT Program was launched on January 1, 2013, covering 34 central schemes aimed at transferring benefits directly to the Aadhaar-linked bank accounts of the underprivileged population."
DBT,How does the DBT Program contribute to transparency and the elimination of pilferage?,The program ensures transparency and eliminates pilferage by directly transferring benefits or subsidies to citizens living below the poverty line. Subsidies are not given to those who do not require them.
DBT,What is the role of the Central Plan Scheme Monitoring System (CPSMS) in the DBT Program?,"CPSMS, implemented by the Office of Controller General of Accounts, serves as a common platform for routing DBT. It is used for preparing beneficiary lists, digitally signing them, and processing payments in the bank accounts of beneficiaries using the Aadhaar Payment Bridge of NPCI."
DBT,What are the central schemes primarily covered under the DBT Program?,"The central schemes covered include the National Child Labour Project, Student Scholarships, LPG subsidy, Dhanlakshmi Scheme, and Janani Surakhsha Yojna."
DBT,How does the DBT Program benefit Aadhaar-linked domestic LPG consumers?,"For LPG consumers, the DBTL Scheme credits the subsidy directly to consumers' Aadhaar-linked bank accounts. Consumers receive an advance for the first subsidized cylinder before delivery, and subsequent subsidies are credited for the purchase of the next subsidized cylinder until the yearly cap of 9 cylinders is reached."
DBT,"Which districts were part of the DBT pilot phase in Punjab, and what was the outcome?","Shaheed Bhagat Singh Nagar, Gurdaspur, and Fatehgarh Sahib were selected for the pilot phase in Punjab. The outcome was 8,841 transactions, totaling Rs. 4,62,90,535/-, benefiting the beneficiaries."
DBT,"What additional districts were included in Phase II of the DBT program in Punjab, and when was it launched?","In Phase II in Punjab, Barnala and Jalandhar were added. The DBT program in these additional districts was launched on July 1, 2013."
DBT,How many transactions and the total amount have been processed under the DBT Program in Punjab during Phase II?,"Till September 30, 2013, a total of 72,696 transactions amounting to Rs. 7,92,53,597/- were processed under DBT in Punjab during Phase II."
DBT,What initiatives have various departments taken to standardize data and processes for smooth payments under the DBT program?,"Various departments are working towards standardization of data and processes, and there have been some initiatives to standardize the DBT program, though not completely adopted."
Pradhan Mantri Krishi Sinchayee Yojana (PMKSY),What are the objectives of Pradhan Mantri Krishi Sinchayee Yojana (PMKSY)?,"The objectives of PMKSY include achieving convergence of investments in irrigation, enhancing physical access to water on farms, improving water use efficiency, promoting precision irrigation technologies, enhancing aquifer recharge, and ensuring integrated development of rainfed areas.\r\n\r\n2."
Pradhan Mantri Krishi Sinchayee Yojana (PMKSY),What is the focus of PMKSY?,PMKSY focuses on ensuring access to protective irrigation for all agricultural farms in the country to increase agricultural production and enhance farm income.\r\n\r\n3.
Pradhan Mantri Krishi Sinchayee Yojana (PMKSY),How does PMKSY aim to improve irrigation infrastructure?,"PMKSY aims to improve irrigation infrastructure by creating new water sources through minor irrigation, repairing and renovating water bodies, developing distribution networks, and promoting efficient water conveyance and precision water application devices on farms.\r\n\r\n4."
Pradhan Mantri Krishi Sinchayee Yojana (PMKSY),What are the components of PMKSY (Har Khet ko Pani)?,"The components of PMKSY (Har Khet ko Pani) include creating new water sources through minor irrigation, repairing and renovating water bodies, developing distribution networks, promoting groundwater development, improving water management systems, and constructing micro irrigation structures on farms.\r\n\r\n5."
Pradhan Mantri Krishi Sinchayee Yojana (PMKSY),How does PMKSY (Per Drop More Crop) contribute to water conservation?,PMKSY (Per Drop More Crop) contributes to water conservation by promoting efficient water conveyance and precision water application devices on farms. It also supports the construction of micro irrigation structures and secondary storage structures for water management.\r\n\r\n6.
Pradhan Mantri Krishi Sinchayee Yojana (PMKSY),What role does PMKSY (Watershed Development) play in improving soil and moisture conservation?,"PMKSY (Watershed Development) plays a crucial role in improving soil and moisture conservation by managing runoff water effectively and implementing activities such as ridge area treatment, drainage line treatment, and rainwater harvesting on a watershed basis.\r\n\r\n7."
Pradhan Mantri Krishi Sinchayee Yojana (PMKSY),What is the objective of Accelerated Irrigation Benefit Programme (AIBP)?,"The objective of AIBP is to focus on faster completion of ongoing Major and Medium Irrigation projects, including National Projects.\r\n\r\n8."
Pradhan Mantri Krishi Sinchayee Yojana (PMKSY),What are the focus areas of PMKSY regarding irrigation supply chain?,"PMKSY focuses on end-to-end solutions in the irrigation supply chain, including water sources, distribution networks, efficient farm-level applications, extension services on new technologies, and information dissemination.\r\n\r\n9."
Pradhan Mantri Krishi Sinchayee Yojana (PMKSY),How does PMKSY (Har Khet ko Pani) address water scarcity in agriculture?,"PMKSY (Har Khet ko Pani) addresses water scarcity in agriculture by creating new water sources, repairing and renovating water bodies, developing distribution networks, promoting groundwater development, and improving water management systems.\r\n\r\n10."
Pradhan Mantri Krishi Sinchayee Yojana (PMKSY),What are the activities covered under PMKSY (Per Drop More Crop)?,"Activities covered under PMKSY (Per Drop More Crop) include promoting efficient water conveyance, precision water application devices, topping up input costs for civil construction, constructing micro irrigation structures, and encouraging water-saving practices among farmers.\r\n\r\n11."
Pradhan Mantri Krishi Sinchayee Yojana (PMKSY),How does PMKSY (Watershed Development) contribute to sustainable agriculture?,"PMKSY (Watershed Development) contributes to sustainable agriculture by improving soil and moisture conservation, reducing soil erosion, enhancing water retention in the soil, and promoting the efficient use of water resources on a watershed basis.\r\n\r\n12."
Pradhan Mantri Krishi Sinchayee Yojana (PMKSY),What is the significance of community irrigation initiatives under PMKSY?,"Community irrigation initiatives under PMKSY help to enhance water access and distribution efficiency by encouraging collaboration among farmers, promoting collective management of water resources, and fostering the adoption of sustainable irrigation practices at the grassroots level."
Kisan Call Center,"What scheme was launched by Badal Patralekh, the state agriculture minister, on January 19, 2022?","Badal Patralekh, the state agriculture minister, launched the 'Kisan Call Center' scheme on January 19, 2022, aimed at making farmers aware of their problems and suggestions.\r\n\r\n2."
Kisan Call Center,What was the purpose of launching the 'Kisan Call Center'?,"The 'Kisan Call Center' was launched with the aim of addressing the problems and suggestions of the state's farmers, as mentioned by Badal Patralekh, the state agriculture minister.\r\n\r\n3."
Kisan Call Center,Who will operate the 'Kisan Call Center'?,"The 'Kisan Call Center' will be operated by the Directorate of Agriculture, as mentioned during its launch by Badal Patralekh, the state agriculture minister.\r\n\r\n4."
Kisan Call Center,How can farmers of the state register their problems and suggestions?,Farmers of the state can register their problems and suggestions by calling the toll-free number 1800-123-1136 provided by the 'Kisan Call Center'.\r\n\r\n5.
Kisan Call Center,What technologies were introduced by the Agriculture Department along with the 'Kisan Call Center'?,"Along with the 'Kisan Call Center', the Agriculture Department introduced 'Blockchain Technology' and COVID-19 vaccination initiatives, as mentioned during the launch event by Badal Patralekh, the state agriculture minister.\r\n\r\n6."
Kisan Call Center,How will the 'Blockchain Technology' benefit farmers?,"The 'Blockchain Technology' introduced by the Agriculture Department will enable tracking of seeds from distribution to the field, ensuring transparency and accountability in the process, as stated during the launch event by Badal Patralekh, the state agriculture minister.\r\n\r\n7."
Kisan Call Center,What languages will farmers be provided with answers in at the 'Kisan Call Center'?,"Farmers will be provided with answers in their respective languages at the 'Kisan Call Center', as mentioned by Badal Patralekh, the state agriculture minister, during the launch event.\r\n\r\n8."
Kisan Call Center,What assurance did the Minister give regarding addressing farmers' problems and suggestions through the 'Kisan Call Center'?,"Badal Patralekh, the state agriculture minister, assured that efforts would be made to address farmers' problems from block level to headquarter level through the 'Kisan Call Center', and action would be taken based on their suggestions.\r\n\r\n9."
Kisan Call Center,How will the transparency in agricultural works be enhanced by the new technologies introduced?,"The new technologies introduced by the Agriculture Department, including the 'Kisan Call Center' and 'Blockchain Technology', aim to bring transparency in agricultural works, as stated by Badal Patralekh, the state agriculture minister.\r\n\r\n10."
Kisan Call Center,What is the toll-free number for the 'Kisan Call Center'?,"The toll-free number for the 'Kisan Call Center' is 1800-123-1136, as announced by Badal Patralekh, the state agriculture minister, during its launch.\r\n\r\n11."
Kisan Call Center,What was the significance of the song launched along with the 'Kisan Call Center'?,"A song was launched by the Department of Agriculture along with the 'Kisan Call Center' to inspire people for 'Blockchain Technology' and COVID-19 vaccination, as mentioned by Badal Patralekh, the state agriculture minister.\r\n\r\n12."
Kisan Call Center,How will the 'Kisan Call Center' and 'Blockchain Technology' impact agricultural production in the state?,"The 'Kisan Call Center' and 'Blockchain Technology' introduced by the Agriculture Department are expected to enhance agricultural production by ensuring transparency, addressing farmers' problems, and enabling seed tracking, as highlighted by Badal Patralekh, the state agriculture minister."
m-KISHAN,What is m-KISAN?,"m-KISAN is an SMS portal designed to provide quick and useful information to farmers, endorsed by both Central and State Government organizations.\r\n\r\n2."
m-KISHAN,How do farmers benefit from m-KISAN?,"Farmers benefit from m-KISAN by accessing services and advisories tailored to their language preferences, agricultural practices, and geographical location.\r\n\r\n3."
m-KISHAN,What services are available on m-KISAN?,"Services available on m-KISAN include access to advisories, technical information, and weather forecasts relevant to farming.\r\n\r\n4."
m-KISHAN,How do farmers register on m-KISAN?,Farmers register on m-KISAN using the Pull SMS service.\r\n\r\n5.
m-KISHAN,What additional services are offered on m-KISAN?,"Additional services on m-KISAN include USSD and IVRS, enabling access to web-based services without internet.\r\n\r\n6."
m-KISHAN,Who can access m-KISAN services?,"m-KISAN services can be accessed by farmers and other stakeholders, including semi-literate and illiterate individuals.\r\n\r\n7."
m-KISHAN,When was m-KISAN inaugurated and by whom?,"m-KISAN was inaugurated on July 16, 2013, by the former President of India, Shri Pranab Mukherjee.\r\n\r\n8."
m-KISHAN,In how many languages are advisories sent on m-KISAN?,"Advisories on m-KISAN are sent in 12 languages, including Bengali, Gujarati, Hindi, Kannada, Malayalam, Marathi, Oriya, Punjabi, Tamil, Telugu, Urdu, and English.\r\n\r\n9."
m-KISHAN,Why was m-KISAN established?,"m-KISAN was established to provide government-sanctioned advisories and improvements to farmers, aiming to enhance agricultural sustainability in India.\r\n\r\n10."
m-KISHAN,What is the objective of m-KISAN?,"The objective of m-KISAN is to provide technical, weather, and crop-specific information to all farmers, particularly those with access to a phone.\r\n\r\n11."
m-KISHAN,How has m-KISAN contributed to agricultural sustainability?,m-KISAN has contributed to agricultural sustainability by providing crucial information and guidance to farmers across the country.\r\n\r\n12.
m-KISHAN,What makes m-KISAN accessible to semi-literate and illiterate farmers?,"m-KISAN is accessible to semi-literate and illiterate farmers through services like USSD, IVRS, and voice messages, enabling them to receive information without internet access."
Jaivik Kheti,"What is the Jaivik Kheti portal, and which ministries are involved in its initiation?",The Jaivik Kheti portal is an initiative of the Ministry of Agriculture (MoA) in collaboration with the Department of Agriculture (DAC) and MSTC. It aims to promote organic farming globally.
Jaivik Kheti,What dual functionality does the Jaivik Kheti portal serve?,"The Jaivik Kheti portal functions as both an E-commerce and a knowledge platform. It provides a comprehensive solution for organic farmers to sell their produce while also serving as a repository of knowledge with case studies, videos, best practices, and success stories related to organic farming."
Jaivik Kheti,What type of information is available in the knowledge repository section of the Jaivik Kheti portal?,"The knowledge repository section includes valuable information such as case studies, videos, best farming practices, success stories, and other materials related to organic farming, aimed at facilitating and promoting organic farming."
